Date,Close,Open,High,Low,Volume,%Change
2018-02-06,6478.54,6505.19,6519.29,6426.76,13900000000.0,-1.69
2018-02-07,6534.87,6525.56,6582.51,6512.07,11720000000.0,0.87
2018-02-08,6544.63,6543.62,6549.18,6519.09,10630000000.0,0.15
2018-02-09,6505.52,6491.29,6505.52,6460.64,9560000000.0,-0.6
2018-02-12,6523.45,6508.05,6531.56,6498.69,11880000000.0,0.28
2018-02-13,6578.18,6545.0,6595.9,6544.67,10290000000.0,0.84
2018-02-14,6594.4,6577.11,6599.31,6572.5,7710000000.0,0.25
2018-02-15,6591.58,6615.9,6624.63,6583.19,8539999999.999999,-0.04
2018-02-19,6689.29,6610.73,6689.29,6607.91,9670000000.0,1.48
2018-02-20,6662.88,6687.23,6693.47,6625.74,12940000000.0,-0.39
2018-02-21,6643.4,6649.18,6665.89,6614.23,17920000000.0,-0.29
2018-02-22,6593.06,6646.35,6648.75,6586.31,10710000000.0,-0.76
2018-02-23,6619.8,6608.53,6659.26,6608.53,9370000000.0,0.41
2018-02-26,6554.67,6615.37,6624.02,6554.67,9780000000.0,-0.98
2018-02-27,6598.93,6573.7,6598.93,6562.84,10710000000.0,0.68
2018-02-28,6597.22,6595.86,6609.4,6564.48,9710000000.0,-0.03
2018-03-01,6606.05,6605.31,6630.13,6596.87,9240000000.0,0.13
2018-03-02,6582.32,6597.71,6597.71,6561.05,8230000000.0,-0.36
2018-03-05,6550.59,6594.52,6607.16,6543.66,7780000000.0,-0.48
2018-03-06,6500.11,6577.18,6589.72,6492.95,7780000000.0,-0.77
2018-03-07,6368.27,6500.96,6516.89,6346.66,10860000000.0,-2.03
2018-03-08,6443.02,6410.71,6443.06,6371.97,8730000000.0,1.17
2018-03-09,6433.32,6448.19,6459.03,6382.89,7360000000.0,-0.15
2018-03-12,6500.69,6459.32,6500.69,6459.32,7620000000.0,1.05
2018-03-13,6412.85,6497.46,6501.13,6399.39,8260000000.0,-1.35
2018-03-14,6382.62,6410.89,6412.75,6363.63,8620000000.0,-0.47
2018-03-15,6321.9,6366.93,6372.09,6316.21,8220000000.000001,-0.95
2018-03-16,6304.95,6323.41,6328.79,6236.24,8830000000.0,-0.27
2018-03-19,6289.57,6315.33,6319.65,6277.76,7770000000.0,-0.24
2018-03-20,6243.58,6266.58,6271.72,6207.17,7670000000.0,-0.73
2018-03-21,6312.83,6260.19,6315.07,6260.07,9240000000.0,1.11
2018-03-22,6254.07,6331.98,6351.31,6252.98,7800000000.0,-0.93
2018-03-23,6210.7,6138.11,6210.7,6085.2,7550000000.0,-0.69
2018-03-26,6200.17,6178.73,6205.57,6167.34,6210000000.0,-0.17
2018-03-27,6209.35,6246.23,6274.3,6188.61,7090000000.0,0.15
2018-03-28,6140.84,6195.48,6197.01,6116.89,6140000000.0,-1.1
2018-03-29,6188.99,6153.65,6188.99,6101.77,5920000000.0,0.78
